0 2070000
6.1 2.65 0.445 0.54
6.75 2.5 0.46 0.54
7.9 7.1 0.475 0.54
5.9 6.5 0.505 0.54
5.85 6.6 0.515 0.54
3.8 6.3 0.535 0.44
2.85 5.05 0.665 0.44
2.6 4.15 0.69 0.44
1.7 3.55 0.7 0.44
2.6 2.65 0.74 0.44
2.6 1.9 0.76 0.44
1.5 2.75 0.715 0.44
1.95 1.35 0.78 0.44
1.55 1.4 0.8 0.44
1.35 2 0.79 0.44
0.4 4.65 0.685 0.44
0.75 5.45 0.61 0.44
1.15 7.35 0.555 0.44
1.95 7.7 0.56 0.44
3.25 7.85 0.555 0.44
3.2 7.25 0.565 0.44
2.05 6.5 0.645 0.44
1.25 5.6 0.715 0.44
2.05 5.3 0.725 0.44
2.95 5.75 0.685 0.44
1.25 4.8 0.73 0.44
3.55 4.3 0.755 0.44
3.2 4.25 0.74 0.44
3.9 3.75 0.745 0.44
2.15 3.45 0.735 0.80
3.15 3.5 0.725 0.80
3.35 3.65 0.7 0.80
4.45 3.55 0.69 0.80
4.65 3.35 0.65 0.80
2.45 3.8 0.63 0.80
2.5 5 0.585 0.80
2.3 5.5 0.555 0.80
5.3 6 0.515 0.80
6.15 6.1 0.525 0.80
6.35 4.5 0.7 0.80
6.3 5.2 0.655 0.80
6.65 6.45 0.565 0.80
7 6.6 0.515 0.80
6.65 6.55 0.52 0.80
7.7 6.6 0.51 0.80
6.4 6.35 0.525 0.80
4.8 6.65 0.515 0.80
6.5 6.1 0.545 0.80
7.8 6.15 0.53 0.80
6.4 5.8 0.56 0.80
5.05 5.85 0.545 0.80
5.6 5.85 0.535 0.80
6 5.95 0.53 0.80
6.9 5.9 0.54 0.69
6.2 6 0.53 0.69
4.65 5.7 0.55 0.69
2.55 5.25 0.56 0.69
3.15 5.35 0.565 0.69
3.15 5.1 0.58 0.69
1.65 4.45 0.595 0.69
4 5.45 0.55 0.69
5.15 5.75 0.53 0.69
5.35 6.05 0.52 0.69
4.35 6.55 0.51 0.69
4.55 7.05 0.48 0.69
5.55 7.45 0.46 0.69
4.65 7.85 0.435 0.69
5.55 8.15 0.42 0.69
4.05 8.3 0.4 0.69
4.25 7.9 0.405 0.69
4.3 6.95 0.445 0.69
4.35 6.05 0.465 0.69
4.25 6.15 0.455 0.69
3.9 5.65 0.48 0.69
2.4 5.55 0.495 0.69
4.45 5.9 0.475 0.69
4.4 5.55 0.49 0.69
4.8 5.5 0.485 0.65
4.9 5.45 0.485 0.65
5.05 5.5 0.49 0.65
6.15 5.45 0.5 0.65
5.45 5.6 0.49 0.65
4.5 5.35 0.495 0.65
4.45 5 0.5 0.65
4.15 4.7 0.505 0.65
6.15 5.15 0.49 0.65
4.8 5.6 0.465 0.65
4.95 6.2 0.45 0.65
6.3 6.7 0.45 0.65
6.25 6.95 0.45 0.65
6.55 7.35 0.42 0.65
5.65 7.65 0.42 0.65
5.9 7.3 0.44 0.65
5.05 7.15 0.45 0.65
4.95 6.3 0.485 0.65
5.6 6.1 0.51 0.65
4.8 6.15 0.51 0.65
5.8 5.95 0.525 0.65
3.85 5.55 0.55 0.65
4.35 5.15 0.585 0.65
3.35 5.95 0.56 0.65
6.5 6.4 0.555 0.71
6.95 6.35 0.545 0.71
6.05 6.2 0.55 0.71
4.65 6.35 0.535 0.71
5 6.25 0.535 0.71
4 5.95 0.55 0.71
4 6.05 0.535 0.71
5 5.8 0.545 0.71
5.15 5.65 0.55 0.71
1.75 5.75 0.53 0.71
3.5 6.1 0.535 0.71
5.3 6.7 0.51 0.71
5.5 7.05 0.49 0.71
8.15 7 0.49 0.71
6.35 7.35 0.47 0.71
5.2 6.7 0.49 0.71
4.95 6.4 0.5 0.71
4.75 5.9 0.505 0.71
4.25 5.25 0.53 0.71
3.15 4.9 0.545 0.71
3.35 3.8 0.605 0.71
3.3 4 0.595 0.71
5 3.8 0.605 0.71
4.45 3.8 0.615 0.71
3.4 3.45 0.635 0.70
2.15 3.5 0.63 0.70
1.7 3.2 0.64 0.70
1.9 2.75 0.665 0.70
2.25 2 0.7 0.70
2.2 1.85 0.715 0.70
1.95 2.15 0.68 0.70
2.25 1 0.73 0.70
2.2 1.35 0.725 0.70
1.9 2.1 0.685 0.70
0.8 4.95 0.545 0.70
1.1 6.8 0.46 0.70
3.9 7.25 0.47 0.70
3.55 7.6 0.46 0.70
4.5 6.35 0.54 0.70
3.7 6 0.555 0.70
4.3 4.65 0.62 0.70
2.2 4.3 0.63 0.70
1.9 3.95 0.635 0.70
2.1 3.6 0.635 0.70
2.75 3.45 0.64 0.70
1.85 2.8 0.665 0.70
1.95 2.3 0.705 0.70
1.6 2.35 0.71 0.70
1.85 2.55 0.7 0.58
1.8 2.9 0.7 0.58
1.55 2.75 0.705 0.58
1.3 2.5 0.66 0.58
1.9 2.45 0.66 0.58
1.95 2.65 0.705 0.58
1.55 2.5 0.73 0.58
2 3.55 0.695 0.58
0.75 3.15 0.69 0.58
0.2 2.8 0.655 0.58
1.65 3.8 0.64 0.58
0.85 3.9 0.56 0.58
1.7 5.25 0.5 0.58
2.7 6.1 0.46 0.58
1.85 5.35 0.545 0.58
0.3 1.25 0.505 0.58
0.25 5.1 0.55 0.58
1.05 4.15 0.595 0.58
1.05 2.65 0.675 0.58
1.3 2.6 0.665 0.58
1.75 1.75 0.72 0.58
2 1.2 0.72 0.58
1.5 2.2 0.695 0.58
1.5 2.6 0.65 0.58
1.2 2.4 0.65 0.63
1.85 2.65 0.64 0.63
1.45 2.35 0.64 0.63
0.7 1.8 0.685 0.63
1.25 2.45 0.625 0.63
0.85 1.8 0.66 0.63
1.35 2.5 0.65 0.63
1.25 2.05 0.69 0.63
0.85 2.2 0.665 0.63
1.8 3.25 0.63 0.63
2.1 4.05 0.58 0.63
2.75 4.3 0.54 0.63
2.8 5.25 0.53 0.63
2.35 5.55 0.505 0.63
3 5.1 0.54 0.63
3.75 5.9 0.5 0.63
4.4 5.6 0.51 0.63
4.1 4.85 0.565 0.63
3.15 4.05 0.59 0.63
1.75 2.65 0.665 0.63
1.45 2.8 0.665 0.63
1.95 0.8 0.76 0.63
1.55 0.6 0.775 0.63
1.55 0.65 0.765 0.63
1.75 0.9 0.74 0.51
1.15 2.8 0.675 0.51
0.8 1.4 0.72 0.51
1.25 1.75 0.7 0.51
3.15 3.2 0.72 0.51
3.2 2.7 0.675 0.51
2.45 3.2 0.63 0.51
2 3.1 0.65 0.51
2.7 3.55 0.58 0.51
1.3 3.45 0.58 0.51
3.2 4.6 0.52 0.51
4.1 5.8 0.465 0.51
2.65 2.2 0.405 0.51
4.6 2.5 0.385 0.51
5.05 2.15 0.495 0.51
4.15 1.6 0.59 0.51
3.1 2.2 0.515 0.51
3.3 6.9 0.525 0.51
4.05 6.95 0.495 0.51
3.5 6.1 0.56 0.51
3.75 5.65 0.585 0.51
3.8 5.8 0.625 0.51
3.15 5.75 0.655 0.51
4.9 5.85 0.655 0.51
3.55 5.55 0.69 0.68
3.45 5.4 0.68 0.68
3.95 5.75 0.635 0.68
3.75 5.9 0.62 0.68
4.8 5.8 0.63 0.68
4.15 5.4 0.64 0.68
4.65 5.45 0.655 0.68
3.4 5.6 0.66 0.68
4.15 5.75 0.67 0.68
4.2 5.85 0.67 0.68
4.75 7.25 0.625 0.68
4.15 2.35 0.615 0.68
2.6 3.15 0.595 0.68
3.3 4.75 0.535 0.68
1.8 4.9 0.48 0.68
1.9 4.55 0.495 0.68
1.25 9.05 0.52 0.68
0.9 7.8 0.58 0.68
1.7 5.45 0.645 0.68
1.7 6 0.605 0.68
1.5 5.85 0.595 0.68
2.75 6.4 0.575 0.68
2.95 6.5 0.57 0.68
3.5 6.55 0.595 0.68
4 5.95 0.64 0.80
4.2 5.85 0.655 0.80
5.4 5.85 0.655 0.80
4.15 5.9 0.66 0.80
3.85 5.75 0.64 0.80
3.35 5.7 0.66 0.80
2 4.85 0.685 0.80
2 5.6 0.67 0.80
3.25 6.15 0.665 0.80
2.3 1.55 0.655 0.80
2.4 2.3 0.63 0.80
3.75 3.55 0.615 0.80
2.35 9.05 0.58 0.80
5.1 7.25 0.66 0.80
5.75 7.05 0.705 0.80
7.1 7.9 0.615 0.80
6.2 8.3 0.56 0.80
4.25 7.9 0.59 0.80
1.35 6.5 0.67 0.80
1.4 5.7 0.725 0.80
4.8 5.6 0.665 0.80
2.2 4.75 0.7 0.80
4 5 0.66 0.80
3.1 3.7 0.77 0.80
2.4 3.5 0.84 0.76
3.85 2.5 0.89 0.76
3.05 2.05 0.91 0.76
2.8 2.3 0.905 0.76
2.8 2.45 0.88 0.76
3.35 3.1 0.83 0.76
3.4 3.6 0.785 0.76
4 3.05 0.775 0.76
3.7 3.55 0.765 0.76
3.6 4.2 0.745 0.76
4.65 4.4 0.79 0.76
2.05 4.75 0.805 0.76
5.8 6 0.77 0.76
6.25 5.7 0.755 0.76
5.2 6.35 0.695 0.76
5.7 6.05 0.695 0.76
3.85 5.7 0.67 0.76
2.95 4.45 0.765 0.76
3.25 4.7 0.645 0.76
2.8 4.3 0.71 0.76
4.2 3.05 0.83 0.76
3.8 3.45 0.785 0.76
3.6 3.8 0.725 0.76
3.85 4.45 0.665 0.76
2.9 4.3 0.66 0.75
0.95 3.7 0.685 0.75
0.4 3.7 0.705 0.75
1.45 4.2 0.695 0.75
1.65 3.6 0.715 0.75
1.85 3.15 0.77 0.75
2.35 2.95 0.78 0.75
2.3 2.55 0.825 0.75
1.75 2.35 0.86 0.75
1.5 3.15 0.83 0.75
2.6 3.6 0.785 0.75
2.15 4.3 0.78 0.75
2.8 4.65 0.76 0.75
2.9 5.45 0.745 0.75
2.6 5.2 0.765 0.75
2.5 5.65 0.76 0.75
1.9 5.05 0.79 0.75
1.6 5.35 0.8 0.75
3.9 5.55 0.705 0.75
3.35 4.8 0.715 0.75
2.45 4 0.75 0.75
3 4.55 0.685 0.75
1.85 5.5 0.595 0.75
4.15 5.55 0.565 0.75
4.05 5.5 0.55 0.63
5.6 5.9 0.55 0.63
3.35 4.9 0.62 0.63
5 5.35 0.585 0.63
5.7 5.6 0.56 0.63
4.7 5.35 0.54 0.63
3.5 5.3 0.555 0.63
5.3 5.5 0.605 0.63
5.35 5.5 0.625 0.63
6.75 5.15 0.67 0.63
5.75 5.75 0.65 0.63
6.6 5.85 0.695 0.63
3.05 5.6 0.745 0.63
4.7 5.65 0.755 0.63
6.05 6.05 0.715 0.63
4.7 5.1 0.82 0.63
4.15 4.9 0.835 0.63
4.1 4.75 0.83 0.63
3.75 4.3 0.85 0.63
4.7 4 0.855 0.63
3.2 3.75 0.86 0.63
2.5 4.15 0.84 0.63
2.4 4.1 0.805 0.63
2.15 3.25 0.825 0.63
